Wall time,Step,Value
1701266243.1400309,0,311.6515197753906
1701266489.5231082,1,304.3893127441406
1701266737.863049,2,296.36920166015625
1701266985.7751596,3,292.64892578125
1701267232.9431448,4,287.4713134765625
1701267482.3770368,5,288.4960021972656
1701267730.645404,6,287.08990478515625
1701267979.6341932,7,278.24505615234375
1701268225.6782393,8,274.4488220214844
1701268463.7603858,9,268.61572265625
1701268703.988073,10,265.1424560546875
1701268959.5967402,11,264.0477294921875
1701269211.2027493,12,263.8689880371094
1701269450.9446251,13,260.04376220703125
1701269690.0675123,14,257.2835693359375
1701269927.855083,15,255.1930694580078
1701270165.668752,16,248.8165740966797
1701270410.4084983,17,246.7076873779297
1701270665.1779988,18,248.1260528564453
1701270920.3877203,19,239.56288146972656
